index,cor
1,0.22630209359226072
2,0.03179759103538088
3,0.13794161382470602
4,0.0975392482234993
5,0.030179202720883178
6,0.08612031458659339
7,0.04871021754587053
8,0.14388430204725658
9,0.04144774746557794
10,0.055712853767668595
11,0.07899722573502066
12,0.05139888892913683
13,0.02021933240644939
14,0.17373891074436007
15,0.1269526600246271
16,0.07283310382971296
17,0.014627033342984326
18,0.08796629866929118
19,0.09474321502378426
20,0.14426490771206074
21,0.028305591034155485
22,0.30811410883847495
23,0.12733361759458658
24,0.22853490946366511
25,0.06818319853032245
26,0.02128080288839465
27,0.026447187983202777
28,0.10830926860388553
29,0.135160301396233
30,0.05553318745190857
31,0.08098876583362075
32,0.25845898035639897
33,0.0820027741667584
34,0.11845828829802356
35,0.23811390344727226
36,0.17224866840039094
37,0.11407342470793544
38,0.041798322044141405
39,0.004433723561726337
40,0.04550636619847061
41,0.014709356853531091
42,0.1538425916165135
43,0.14308877182686966
44,0.012927043862760031
45,0.044036593728817665
46,0.11186133121127628
47,0.049583726824953454
48,0.00398412990332715
49,0.1764108943346731
50,0.14563328293733588
51,0.07831153435908764
52,0.1286800105307471
53,0.14202093591956588
54,0.014291765227490434
55,0.015823876250491063
56,0.17047661346613055
57,0.07682114267318285
58,0.06701667990282008
59,0.13255471714686534
60,0.21669715386739513
61,0.250952975503795
62,0.24316754117188139
63,0.3262453650500593
64,0.07159700056006016
65,0.02578846227719524
66,0.1115404821316663
67,0.0026277667715413947
68,0.0897348895576711
69,0.08101513388415853
70,0.07455268221888689
71,0.2636623070826682
72,0.12910015659644142
73,0.14743104991591544
74,0.038487897837285207
75,0.16428141336794694
76,0.03513510913560956
77,0.08521326675749047
78,0.18774842760026417
79,0.03278845444247846
80,0.022741945144278564
