index,regSinVal,voxSinVal
1,11414899.3259827,3889503070.68535
2,1097226.31681304,3198865707.7778
3,858927.141534208,2848867520.6820803
4,732384.027990879,2712721622.35751
5,663549.473016056,2687362732.07593
6,642764.24975292,2632961890.71019
7,618463.923713136,2597219009.6767
8,576928.84298435,2586575109.91653
9,550891.393531127,2560398277.09775
10,533971.660396145,2535207114.93646
11,498716.64320378,2529014286.00851
12,496862.16292782204,2496816190.54417
13,481734.951106581,2470798899.9366302
14,477217.921775789,2460314079.2411
15,459632.801821989,2446218083.82133
16,453632.086082326,2426531435.14808
17,446243.60552378604,2418492634.63276
18,441942.125956426,2405341065.31735
19,437605.456830838,2397455661.17294
20,430290.300483614,2396016690.8464603
21,422123.71812070004,2382271596.4608803
22,412944.403050288,2371574824.04845
23,410999.405551304,2367728767.8822303
24,407477.72253764205,2353319211.26193
25,403548.833448894,2346734259.33499
26,396654.776170538,2341019309.38325
27,393149.536846803,2332799238.5795603
28,382899.742672717,2315607860.4753
29,380957.78960042703,2314873488.37787
30,376286.629227996,2305811237.02487
31,370387.59126992896,2303338184.48069
32,362978.311739447,2297566666.07582
33,362772.20832107705,2293430120.15638
34,356146.960259901,2271387979.79401
35,355755.529434109,2265579293.37029
36,351324.44386338897,2253862446.1052103
37,346629.177159416,2244897960.08463
38,343057.806498202,2232591638.3597
39,341929.541223249,2228805017.36623
40,335728.671121328,2218864285.0756397
41,334607.29046541697,2210747786.9436398
42,332731.089433353,2208617533.70247
43,330020.450222773,2202043015.67587
44,325424.657521138,2197818673.20556
45,320990.729668635,2186436343.82912
46,317656.15713134303,2172434370.13913
47,316235.69686839,2169408085.30665
48,312138.836456255,2160702052.76171
49,311751.89921149303,2154379694.79013
50,309656.34927053103,2151632447.4595
51,308425.264847124,2146982329.7132897
52,306703.788070307,2138556154.56839
53,302402.005709286,2132720962.9550602
54,300455.45386358397,2129704285.85367
55,299601.883063795,2123443343.11474
56,298235.159915678,2122101796.3350801
57,294596.70043494,2111396297.06888
58,290293.744528534,2108168477.2482398
59,288638.507438971,2102553497.3085601
60,285465.381985442,2093208847.8460898
61,283005.184373628,2086121842.53518
62,279813.169777275,2082941711.05562
63,279245.489033445,2076819770.0178301
64,277075.943165114,2072065083.3408399
65,273630.095336442,2063127926.0409698
66,270611.060413275,2059871715.4151897
67,268430.67783867,2045439757.4077
68,265344.78033951,2037333024.0796301
69,264402.211204373,2033345697.7511399
70,259981.43307794898,2027003445.09031
71,258321.656968446,2022008250.31157
72,257449.83631519,2003264929.6284
73,255194.716025454,2000164179.3122802
74,252971.778932533,1984506875.64623
75,247456.406596869,1978959516.0156
76,245597.651999495,1977278561.3892899
77,244004.128881075,1957601061.03373
78,241649.748783633,1896521720.92217
79,233586.910514967,1889627321.8521
80,225090.18280502,1867431662.92981
